,Año,Trimestre,Provincia,HASTA 512 kbps,+ 512 Kbps - 1 Mbps,+ 1 Mbps - 6 Mbps,+ 6 Mbps - 10 Mbps,+ 10 Mbps - 20 Mbps,+ 20 Mbps - 30 Mbps,+ 30 Mbps,OTROS,Total
88,2022,1,Salta,1140,1725,35576,68246,6313,2214,76838,6489.0,197515
89,2022,1,San Juan,260,2269,32356,11914,25144,2088,11916,2465.0,88178
90,2022,1,San Luis,610,6430,8287,3837,9802,68612,13,28589.0,119844
91,2022,1,Santa Cruz,510,6898,12710,11502,12277,2628,2551,4850.0,49102
92,2022,1,Santa Fe,4680,12435,143796,208361,84787,58018,344170,18444.0,870479
93,2022,1,Santiago Del Estero,1780,1401,30220,6117,13542,8490,8309,7920.0,116461
94,2022,1,Tierra Del Fuego,240,8940,12849,1564,18034,1767,982,2421.0,52611
95,2022,1,Tucumán,390,2212,36028,46961,21014,5211,133846,2730.0,245584
96,2021,4,Buenos Aires,37821,11026,352950,331292,297296,196021,3259793,22958.0,4509157
97,2021,4,Capital Federal,5630,1695,47133,81899,66135,66755,1147939,0.0,1412119
98,2021,4,Catamarca,710,0,6038,7855,9804,3262,29827,2233.0,59090
99,2021,4,Chaco,4610,1120,18845,22678,21937,13692,58435,7585.0,143745
100,2021,4,Chubut,1260,1294,63698,39568,31175,578,2904,15763.0,160308
101,2021,4,Córdoba,1000,2479,184548,130892,76246,41198,538700,12607.0,986770
102,2021,4,Corrientes,670,6450,28830,26368,22922,10087,39911,7082.0,135912
103,2021,4,Entre Ríos,1070,3024,56043,49636,38295,24068,77290,16583.0,265046
104,2021,4,Formosa,840,0,22908,6983,6811,1135,13775,1967.0,53663
105,2021,4,Jujuy,580,1750,22446,16793,38134,5640,33421,2324.0,113915
106,2021,4,La Pampa,3010,4930,64840,9082,12259,4821,12184,3027.0,107007
107,2021,4,La Rioja,180,10,5018,5437,23559,5671,43424,0.0,83128
108,2021,4,Mendoza,1560,1463,66428,30308,75214,18621,75031,3660.0,267587
109,2021,4,Misiones,510,50,41916,23554,26721,15954,54596,8335.0,171132
110,2021,4,Neuquén,1400,9400,42313,13264,10515,331,69217,7767.0,147466
111,2021,4,Río Negro,1560,1174,38373,19878,31255,413,36142,22645.0,153753
112,2021,4,Salta,1140,200,40673,69324,6642,3535,72622,6475.0,199405
113,2021,4,San Juan,440,1442,28906,10955,23978,3980,9800,4435.0,79958
114,2021,4,San Luis,620,2640,8550,4276,9107,67363,9,29218.0,118849
115,2021,4,Santa Cruz,520,2970,20305,11641,13054,177,876,4910.0,48486
116,2021,4,Santa Fe,4670,5810,169706,206856,8569,62349,322015,18777.0,866441
117,2021,4,Santiago Del Estero,1780,9090,31915,61524,12205,8000,7537,7930.0,115861
118,2021,4,Tierra Del Fuego,260,3850,13505,16534,16562,1748,1017,258.0,52357
119,2021,4,Tucumán,390,970,37321,48736,21023,5326,125857,2400.0,238639
120,2021,3,Buenos Aires,37193,31149,1108940,248153,141383,192797,2482266,9728.0,4251609
121,2021,3,Capital Federal,2950,6030,156978,67013,39785,73502,1075229,0.0,1413405
122,2021,3,Catamarca,710,0,6755,8428,10517,1659,26618,2206.0,56254
123,2021,3,Chaco,3010,1120,22545,20986,23852,14412,49705,7958.0,139871
124,2021,3,Chubut,1040,1050,89168,26281,18538,532,1643,14907.0,156066
125,2021,3,Córdoba,990,2452,204989,141285,6505,47198,476459,9256.0,946788
126,2021,3,Corrientes,670,6450,29629,28478,24792,9687,35468,5053.0,133819
127,2021,3,Entre Ríos,1070,3024,61354,59776,39114,16284,67961,12755.0,260375
128,2021,3,Formosa,3810,0,22778,7142,6978,1192,12707,1617.0,52795
129,2021,3,Jujuy,480,1750,23884,16417,37755,5610,29917,2401.0,111158
130,2021,3,La Pampa,2980,3130,65063,7395,8737,4023,10506,4152.0,100487
131,2021,3,La Rioja,180,10,5366,5979,23315,4868,42613,0.0,82160
132,2021,3,Mendoza,360,310,151871,1264,62628,7596,21087,500.0,255939
133,2021,3,Misiones,510,50,41932,25099,26079,14792,42291,8279.0,158528
134,2021,3,Neuquén,1120,3270,57441,8566,6234,3631,57919,5579.0,139809
135,2021,3,Río Negro,1250,5570,68991,373,1488,2282,34011,20009.0,144585
136,2021,3,Salta,1010,200,41431,70104,6962,3878,67010,6327.0,195833
137,2021,3,San Juan,180,3330,59873,7520,1325,3380,278,4641.0,79483
138,2021,3,San Luis,600,0,11552,2405,6491,67942,22,29392.0,117864
139,2021,3,Santa Cruz,500,0,30561,8365,6799,1788,678,7350.0,48976
140,2021,3,Santa Fe,4670,5790,193207,20125,83941,5508,290793,16267.0,841584
141,2021,3,Santiago Del Estero,1230,9090,32752,61838,11274,8010,6863,8980.0,115458
142,2021,3,Tierra Del Fuego,170,0,23723,13397,9782,1433,976,8950.0,50223
143,2021,3,Tucumán,320,970,39446,50293,21986,53,115154,1640.0,232472
144,2021,2,Buenos Aires,37192,31178,1096049,244001,140322,236897,2337604,9108.0,4132351
145,2021,2,Capital Federal,2940,6030,157558,73568,43859,86655,1037752,660.0,1400355
146,2021,2,Catamarca,710,0,7219,9091,6828,4941,25388,2206.0,55744
147,2021,2,Chaco,3010,1120,23444,21574,24032,16069,47239,7958.0,140729
148,2021,2,Chubut,1040,1050,89639,22605,16604,3896,1112,5172.0,139237
149,2021,2,Córdoba,990,2452,201757,136516,6695,70824,442357,9925.0,930880
150,2021,2,Corrientes,670,6450,29419,27037,24524,10059,32697,5053.0,129501
151,2021,2,Entre Ríos,1070,3024,63518,55349,39468,18484,61605,16077.0,257632
152,2021,2,Formosa,3810,0,22364,731,746,1341,11077,1618.0,51551
153,2021,2,Jujuy,480,1750,24182,16577,37908,6070,29950,2401.0,111848
154,2021,2,La Pampa,2980,5540,64146,7769,8128,3399,9311,4062.0,97667
155,2021,2,La Rioja,180,10,5312,5971,23298,4825,42158,190.0,81602
156,2021,2,Mendoza,360,310,137462,10886,56117,4403,20686,500.0,229671
157,2021,2,Misiones,510,50,41643,25907,25811,16172,38308,8279.0,156176
158,2021,2,Neuquén,1120,3270,57713,8631,5871,5943,54008,5645.0,138250
159,2021,2,Río Negro,1250,5570,69356,3663,15019,3867,31488,20009.0,144084
160,2021,2,Salta,1010,200,42543,67012,7099,9654,58882,6328.0,191639
161,2021,2,San Juan,180,3330,59989,7840,1255,3400,278,4641.0,78933
162,2021,2,San Luis,600,0,11752,2703,5418,65946,22,36917.0,122818
163,2021,2,Santa Cruz,500,0,30595,8463,6888,1575,676,7350.0,48982
164,2021,2,Santa Fe,4670,8960,202018,204077,80452,75195,262124,15371.0,840600
165,2021,2,Santiago Del Estero,1230,9090,32034,62224,10359,8110,6064,1566.0,114090
166,2021,2,Tierra Del Fuego,170,0,21335,6913,458,4760,889,1483.0,35693
167,2021,2,Tucumán,320,970,40224,51648,23732,5022,109616,268.0,233051
168,2021,1,Buenos Aires,36939,31187,1108368,24052,163747,222061,2246313,10867.0,4060002
169,2021,1,Capital Federal,1350,2440,159662,76753,56457,83255,1003041,1260.0,1379673
170,2021,1,Catamarca,710,0,7423,8455,10115,7120,22996,2196.0,51968
171,2021,1,Chaco,3010,1120,24357,22102,27556,14496,42462,8384.0,139770
172,2021,1,Chubut,1060,1090,86986,21401,15392,2844,1112,439.0,132340
173,2021,1,Córdoba,930,2386,211799,135092,74659,71984,402191,12677.0,910881
174,2021,1,Corrientes,670,5270,31544,26223,26169,9001,27641,5453.0,126625
175,2021,1,Entre Ríos,1050,2911,67255,5606,42432,15774,54600,12826.0,251963
176,2021,1,Formosa,560,0,22409,7569,7916,1215,9579,1942.0,50686
177,2021,1,Jujuy,490,1750,23735,17293,40649,5680,25609,2378.0,110456
178,2021,1,La Pampa,2980,5540,68200,7864,7611,2786,7368,2424.0,97105
179,2021,1,La Rioja,180,10,36749,5968,4604,2150,5074,-10.0,52628
180,2021,1,Mendoza,280,400,134386,11216,52533,4061,16615,440.0,218923
181,2021,1,Misiones,510,5240,40949,25503,27101,1405,32953,8256.0,149387
182,2021,1,Neuquén,1160,3270,56171,8443,5903,5677,50840,5758.0,133235
183,2021,1,Río Negro,1250,4660,70011,4187,13045,3642,29589,20103.0,141168
184,2021,1,Salta,1090,200,40785,68149,9164,8139,54889,6319.0,187574
185,2021,1,San Juan,250,1940,60439,8580,11494,3400,276,4641.0,78267
186,2021,1,San Luis,580,0,11889,2926,4429,62913,22,36917.0,119154
187,2021,1,Santa Cruz,500,0,30655,8334,6987,1337,647,-1945.0,46065
188,2021,1,Santa Fe,5180,8910,201632,204458,91846,65476,236924,24382.0,826127
189,2021,1,Santiago Del Estero,1230,9090,33884,58464,8549,7000,4868,4144.0,111641
190,2021,1,Tierra Del Fuego,170,0,21379,1468,4317,4860,919,11836.0,40422
191,2021,1,Tucumán,290,970,42810,53416,25255,4188,103437,268.0,231912
192,2020,4,Buenos Aires,36939,31197,1109865,242243,214171,213588,2176242,9016.0,4033261
193,2020,4,Capital Federal,1350,2440,160210,78123,60208,80269,1000073,2680.0,1379530
194,2020,4,Catamarca,710,0,8843,874,11436,5910,20406,2309.0,52396
195,2020,4,Chaco,3010,1120,24782,22479,26802,15701,40949,7965.0,139091
196,2020,4,Chubut,1060,1090,88157,21824,12046,2818,1112,4402.0,130574
197,2020,4,Córdoba,1190,2386,214963,135262,82221,70013,384169,13568.0,902701
198,2020,4,Corrientes,670,5270,31900,26321,25687,9383,26789,4985.0,125659
199,2020,4,Entre Ríos,1050,2911,65659,53556,40755,166,53141,14654.0,247381
200,2020,4,Formosa,560,0,23540,7606,7181,1197,8946,168.0,50206
201,2020,4,Jujuy,490,1820,23772,14379,4493,4460,19282,2811.0,105851
202,2020,4,La Pampa,2980,5540,70184,8124,6562,2396,6257,252.0,96895
203,2020,4,La Rioja,180,10,36906,606,4633,1810,4979,0.0,52778
204,2020,4,Mendoza,280,400,146312,11172,40396,3378,11557,257.0,215453
205,2020,4,Misiones,510,5240,39988,26078,26445,1481,32264,7001.0,147161
206,2020,4,Neuquén,1160,3270,56434,8478,5791,5493,50776,572.0,133135
207,2020,4,Río Negro,1250,4660,70305,4153,13131,3512,29372,20146.0,141210
208,2020,4,Salta,1090,5140,41443,68829,15188,8291,46697,6319.0,187390
209,2020,4,San Juan,250,1940,61316,7400,5126,3320,275,4588.0,72596
210,2020,4,San Luis,580,0,14020,349,2688,62239,22,36918.0,119435
211,2020,4,Santa Cruz,470,0,27173,4382,6634,1033,647,7580.0,40674
212,2020,4,Santa Fe,5180,8910,206372,203793,94246,65145,226246,23602.0,820813
213,2020,4,Santiago Del Estero,1230,9090,34518,5759,4666,4110,4520,3932.0,106669
214,2020,4,Tierra Del Fuego,170,0,21881,6119,3497,4880,922,669.0,39614
215,2020,4,Tucumán,290,970,44095,54334,32155,4105,93594,268.0,231089
216,2020,3,Buenos Aires,37542,31514,1113823,23471,219772,194248,2085815,19853.0,3937277
217,2020,3,Capital Federal,2640,3120,162222,85083,68753,78028,977766,2470.0,1372675
218,2020,3,Catamarca,630,0,8276,8768,11195,5620,18886,2154.0,49904
219,2020,3,Chaco,3080,1120,24675,21639,27546,13751,38729,7194.0,133954
220,2020,3,Chubut,1580,1090,87559,22114,12217,2818,1110,3942.0,130027
221,2020,3,Córdoba,1680,3064,218599,124833,84236,63823,361021,11728.0,867472
222,2020,3,Corrientes,720,5270,35190,23315,25308,8615,25344,502.0,123391
223,2020,3,Entre Ríos,1300,2911,66648,51478,40797,14377,49395,15759.0,241495
224,2020,3,Formosa,3910,1510,23163,7432,7125,9910,8219,1737.0,49209
225,2020,3,Jujuy,550,1820,32131,10566,45198,2930,15238,3065.0,106728
226,2020,3,La Pampa,2930,8100,66695,782,5577,2189,6322,4029.0,93735
227,2020,3,La Rioja,210,10,37105,5955,466,1240,4748,20.0,52616
228,2020,3,Mendoza,580,400,141404,12123,42433,3448,8237,450.0,207788
229,2020,3,Misiones,710,5240,39005,24215,25942,13663,30987,8779.0,143186
230,2020,3,Neuquén,2180,3270,60463,6561,5975,5449,49439,8030.0,129235
231,2020,3,Río Negro,1140,4660,68986,3769,7096,3455,28488,19093.0,131467
232,2020,3,Salta,1290,5140,32780,64736,1599,7928,43773,14996.0,180846
233,2020,3,San Juan,480,1940,65526,7110,6529,410,128,415.0,77327
234,2020,3,San Luis,1050,0,12199,3351,2666,61319,8,36917.0,116565
235,2020,3,Santa Cruz,660,0,26888,4015,673,6290,120,8330.0,39281
236,2020,3,Santa Fe,5680,1241,213353,199381,92095,58797,210562,27001.0,802998
237,2020,3,Santiago Del Estero,1330,9090,33287,57418,4658,2920,3994,4801.0,105492
238,2020,3,Tierra Del Fuego,110,0,22094,5414,3726,4810,937,6992.0,39655
239,2020,3,Tucumán,520,970,45913,5461,33126,3246,84195,2637.0,223876
240,2020,2,Buenos Aires,37542,31606,1129236,241336,233132,188995,1894466,21233.0,3777546
241,2020,2,Capital Federal,2640,3120,166474,94585,79858,8016,935481,6870.0,1357821
242,2020,2,Catamarca,630,0,8801,869,10242,4260,16578,3176.0,47976
243,2020,2,Chaco,3080,9280,24350,2114,29044,12082,33311,6969.0,128132
244,2020,2,Chubut,1580,1090,69578,22188,10537,1473,614,3999.0,108656
245,2020,2,Córdoba,1680,4383,219025,125932,8953,63216,325243,8971.0,836468
246,2020,2,Corrientes,720,5270,34242,22845,25844,7898,22418,502.0,118866
247,2020,2,Entre Ríos,1300,3679,66758,5064,4209,12856,43391,14569.0,234113
248,2020,2,Formosa,3910,1510,23534,7109,6998,9610,7475,1313.0,47932
249,2020,2,Jujuy,550,1820,30548,10519,26829,2090,9417,16557.0,94316
250,2020,2,La Pampa,2930,8100,71218,7531,38,1657,3377,1123.0,89809
251,2020,2,La Rioja,210,10,37375,5661,4686,730,4336,20.0,52155
252,2020,2,Mendoza,580,400,142253,12439,35274,3248,5422,245.0,201184
253,2020,2,Misiones,710,5240,39867,23719,26445,12305,28763,8646.0,140340
