,Año,Trimestre,Provincia,ADSL,Cablemodem,Fibra óptica,Wireless,Otros,Total
199,2020,4,Entre Ríos,860,1140,160,200,120,2470
200,2020,4,Formosa,210,110,20,150,3800,500
201,2020,4,Jujuy,330,530,160,10,30,1060
202,2020,4,La Pampa,90,590,150,120,10,970
203,2020,4,La Rioja,180,350,10,2500,300,530
204,2020,4,Mendoza,920,680,360,180,8330,2150
205,2020,4,Misiones,490,800,70,40,70,1470
206,2020,4,Neuquén,300,710,140,180,6320,1330
207,2020,4,Río Negro,490,420,180,140,180,1410
208,2020,4,Salta,570,880,310,60,60,1870
209,2020,4,San Juan,400,70,70,100,80,730
210,2020,4,San Luis,80,120,270,630,360,1190
211,2020,4,Santa Cruz,120,200,10,50,30,410
212,2020,4,Santa Fe,2870,4150,630,390,170,8210
213,2020,4,Santiago Del Estero,270,710,5700,50,40,1070
214,2020,4,Tierra Del Fuego,130,260,60,0,3160,400
215,2020,4,Tucumán,1490,110,680,20,7400,2310
216,2020,3,Buenos Aires,6540,20,7490,940,560,40
217,2020,3,Capital Federal,1700,10,390,40,290,10
218,2020,3,Catamarca,270,40,170,2610,20,500
219,2020,3,Chaco,460,590,210,70,20,1340
220,2020,3,Chubut,460,390,30,230,190,1300
221,2020,3,Córdoba,2760,4310,1020,480,100,8670
222,2020,3,Corrientes,510,590,30,60,50,1230
223,2020,3,Entre Ríos,880,1070,140,200,120,2410
224,2020,3,Formosa,220,100,20,150,3930,490
225,2020,3,Jujuy,330,580,110,9520,40,1070
226,2020,3,La Pampa,90,570,150,120,10,940
227,2020,3,La Rioja,170,350,10,2500,350,530
228,2020,3,Mendoza,920,650,330,180,8680,2080
229,2020,3,Misiones,500,780,30,30,90,1430
230,2020,3,Neuquén,300,700,110,170,7370,1290
231,2020,3,Río Negro,500,400,100,130,180,1310
232,2020,3,Salta,580,840,250,60,70,1810
233,2020,3,San Juan,400,90,60,140,80,770
234,2020,3,San Luis,80,100,60,620,360,1170
235,2020,3,Santa Cruz,130,160,10,70,20,390
236,2020,3,Santa Fe,2950,4060,460,370,190,8030
237,2020,3,Santiago Del Estero,260,710,5550,40,40,1050
238,2020,3,Tierra Del Fuego,130,260,0,0,3100,400
239,2020,3,Tucumán,1500,120,600,20,7620,2240
240,2020,2,Buenos Aires,6610,20,7230,920,570,40
241,2020,2,Capital Federal,1790,10,390,40,290,10
242,2020,2,Catamarca,270,40,150,2610,20,480
243,2020,2,Chaco,470,560,170,60,20,1280
244,2020,2,Chubut,460,380,10,180,60,1090
245,2020,2,Córdoba,2830,4150,860,450,80,8360
246,2020,2,Corrientes,510,560,30,40,50,1190
247,2020,2,Entre Ríos,890,990,140,200,110,2340
248,2020,2,Formosa,220,90,20,150,1690,480
249,2020,2,Jujuy,330,390,50,9520,170,940
250,2020,2,La Pampa,90,540,140,110,10,900
251,2020,2,La Rioja,170,350,10,2500,350,520
252,2020,2,Mendoza,920,630,300,160,8020,2010
253,2020,2,Misiones,510,740,30,30,90,1400
254,2020,2,Neuquén,300,680,110,160,10,1260
255,2020,2,Río Negro,500,400,100,110,180,1290
256,2020,2,Salta,600,820,240,50,70,1780
257,2020,2,San Juan,400,80,60,70,90,700
258,2020,2,San Luis,80,80,60,610,360,1140
259,2020,2,Santa Cruz,130,160,10,70,20,390
260,2020,2,Santa Fe,3000,3820,470,300,190,7780
261,2020,2,Santiago Del Estero,260,720,3550,30,40,1050
262,2020,2,Tierra Del Fuego,130,260,0,0,3100,390
263,2020,2,Tucumán,1500,100,550,10,7620,2170
264,2020,1,Buenos Aires,6730,20,7210,850,180,40
265,2020,1,Capital Federal,1840,10,390,40,290,10
