,Año,Trimestre,Provincia,Banda ancha fija,Dial up,Total
219,2020,3,Chaco,134,30,134
220,2020,3,Chubut,129,8250,130
221,2020,3,Córdoba,867,550,867
222,2020,3,Corrientes,123,30,123
223,2020,3,Entre Ríos,241,130,241
224,2020,3,Formosa,49,0,49
225,2020,3,Jujuy,107,0,107
226,2020,3,La Pampa,94,1160,94
227,2020,3,La Rioja,53,30,53
228,2020,3,Mendoza,207,6150,208
229,2020,3,Misiones,143,0,143
230,2020,3,Neuquén,129,3730,129
231,2020,3,Río Negro,131,5010,131
232,2020,3,Salta,181,20,181
233,2020,3,San Juan,77,2560,77
234,2020,3,San Luis,116,1480,117
235,2020,3,Santa Cruz,39,1970,39
236,2020,3,Santa Fe,803,1370,803
237,2020,3,Santiago Del Estero,105,10,105
238,2020,3,Tierra Del Fuego,39,2890,40
239,2020,3,Tucumán,224,220,224
240,2020,2,Buenos Aires,4,50,4
241,2020,2,Capital Federal,1,10,1
242,2020,2,Catamarca,48,10,48
243,2020,2,Chaco,128,30,128
244,2020,2,Chubut,108,8250,109
245,2020,2,Córdoba,836,550,836
246,2020,2,Corrientes,119,30,119
247,2020,2,Entre Ríos,234,130,234
248,2020,2,Formosa,48,0,48
249,2020,2,Jujuy,94,0,94
250,2020,2,La Pampa,90,1160,90
251,2020,2,La Rioja,52,30,52
252,2020,2,Mendoza,201,6150,201
253,2020,2,Misiones,140,0,140
254,2020,2,Neuquén,126,3730,126
255,2020,2,Río Negro,129,5010,129
256,2020,2,Salta,178,20,178
257,2020,2,San Juan,70,2560,70
258,2020,2,San Luis,114,1480,114
259,2020,2,Santa Cruz,39,1970,39
260,2020,2,Santa Fe,778,1370,778
261,2020,2,Santiago Del Estero,105,10,105
262,2020,2,Tierra Del Fuego,39,2890,39
263,2020,2,Tucumán,217,220,217
264,2020,1,Buenos Aires,4,50,4
265,2020,1,Capital Federal,1,10,1
266,2020,1,Catamarca,40,10,40
267,2020,1,Chaco,120,30,120
268,2020,1,Chubut,96,8000,97
269,2020,1,Córdoba,811,550,811
270,2020,1,Corrientes,114,30,114
271,2020,1,Entre Ríos,232,130,232
272,2020,1,Formosa,46,0,46
273,2020,1,Jujuy,92,0,92
274,2020,1,La Pampa,89,1160,89
275,2020,1,La Rioja,48,30,48
276,2020,1,Mendoza,183,6150,183
277,2020,1,Misiones,134,0,134
278,2020,1,Neuquén,121,3730,122
279,2020,1,Río Negro,126,5010,126
280,2020,1,Salta,170,20,170
281,2020,1,San Juan,64,2560,64
282,2020,1,San Luis,110,1480,111
283,2020,1,Santa Cruz,39,1970,39
284,2020,1,Santa Fe,771,1370,771
285,2020,1,Santiago Del Estero,103,10,103
286,2020,1,Tierra Del Fuego,39,2890,39
287,2020,1,Tucumán,200,220,200
288,2019,4,Buenos Aires,4,50,4
