,Provincia,Partido,Localidad,Otros,"0,256 Mbps","0,375 Mbps","0,5 Mbps","0,512 Mbps","0,625 Mbps","0,75 Mbps",1 Mbps,"1,25 Mbps","1,5 Mbps",2 Mbps,"2,2 Mbps","2,5 Mbps",3 Mbps,"3,3 Mbps","3,5 Mbps",4 Mbps,"4,5 Mbps",5 Mbps,6 Mbps,"6,4 Mbps",7 Mbps,"7,5 Mbps",8 Mbps,9 Mbps,10 Mbps,"10,2 Mbps",11 Mbps,12 Mbps,"12,3 Mbps",13 Mbps,14 Mbps,15 Mbps,16 Mbps,17 Mbps,18 Mbps,20 Mbps,"20,5 Mbps",21 Mbps,22 Mbps,23 Mbps,24 Mbps,25 Mbps,"25,1 Mbps","25,5 Mbps",26 Mbps,27 Mbps,30 Mbps,31 Mbps,32 Mbps,34 Mbps,35 Mbps,36 Mbps,38 Mbps,39 Mbps,40 Mbps,41 Mbps,45 Mbps,46 Mbps,48 Mbps,49 Mbps,50 Mbps,"50,1 Mbps","50,25 Mbps",51 Mbps,55 Mbps,58 Mbps,59 Mbps,60 Mbps,61 Mbps,62 Mbps,64 Mbps,65 Mbps,66 Mbps,70 Mbps,75 Mbps,78 Mbps,80 Mbps,83 Mbps
21,BUENOS AIRES,Adolfo Alsina,Rivera,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1155,0,0,0,0,0,0,0,0,0,0,230,0,0,0,0,0,0,0,0,0,0,240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,BUENOS AIRES,Adolfo Gonzales Chaves,Adolfo Gonzales Chaves  (Est. Chaves),0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,1470,0,0,0,0,0,0,0,4470,0,1220,0,0,10,0,0,0,1045,0,0,0,0,0,0,0,0,0,0,0,0,0,0,440,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,BUENOS AIRES,Adolfo Gonzales Chaves,De la Garma,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6320,0,0,0,0,70,0,280,0,450,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,BUENOS AIRES,Adolfo Gonzales Chaves,Juan E. Barra,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,460,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,BUENOS AIRES,Adolfo Gonzales Chaves,Vásquez,0,0,0,0,0,0,0,0,0,0,0,0,0,120,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,BUENOS AIRES,Alberti,Alberti   (Est. Andrés Vaccarezza),0,0,0,0,0,0,20,0,0,0,40,0,0,0,0,400,0,0,70,0,0,0,0,1160,0,0,0,0,0,0,0,0,3020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,BUENOS AIRES,Alberti,Mechita,0,0,0,0,0,0,0,0,0,0,0,0,0,2750,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,BUENOS AIRES,Almirante Brown,Adrogué,0,10,0,100,10,0,340,240,0,0,80,0,0,20,0,630,70,0,50,120,0,0,0,370,0,3850,0,0,0,0,0,0,1350,0,0,0,60,0,0,0,0,0,250,0,0,0,0,11557,0,0,0,0,0,0,0,0,0,0,0,0,0,6390,0,0,0,0,0,0,9280,0,0,0,0,0,0,2250,0,0,0
29,BUENOS AIRES,Almirante Brown,Burzaco,510,10,0,90,10,0,230,170,0,0,770,0,0,150,0,340,1150,0,130,840,0,0,0,300,0,1054,0,0,0,0,0,0,600,0,0,0,30,0,0,0,0,0,510,0,0,0,0,11392,0,0,0,0,0,0,0,0,0,0,0,0,0,3900,0,0,0,0,0,0,4171,0,0,0,0,0,0,8290,0,0,0
30,BUENOS AIRES,Almirante Brown,Claypole,0,0,0,0,0,0,20,70,0,0,0,0,0,20,0,30,0,0,10,400,0,0,0,0,0,4290,0,0,0,0,0,0,0,0,0,0,150,0,0,0,0,0,220,0,0,0,0,4113,0,0,0,0,0,0,0,0,0,0,0,0,0,1070,0,0,0,0,0,0,2325,0,0,0,0,0,0,4150,0,0,0
