Año,Trimestre,Provincia,Accesos por cada 100 hogares,provincia_id,año_id
2020,2,La Rioja,49.84,11,2
2020,2,Mendoza,36.25,12,2
2020,2,Misiones,40.89,13,2
2020,2,Neuquén,63.9,14,2
2020,2,Río Negro,56.37,15,2
2020,2,Salta,51.58,16,2
2020,2,San Juan,35.09,17,2
2020,2,San Luis,78.41,18,2
2020,2,Santa Cruz,35.79,19,2
2020,2,Santa Fe,70.0,20,2
2020,2,Santiago Del Estero,43.47,21,2
2020,2,Tierra Del Fuego,76.37,22,2
2020,2,Tucumán,51.78,23,2
2020,1,Buenos Aires,64.33,0,2
2020,1,Capital Federal,105.98,1,2
2020,1,Catamarca,37.62,2,2
2020,1,Chaco,37.48,3,2
2020,1,Chubut,51.27,4,2
2020,1,Córdoba,70.69,5,2
2020,1,Corrientes,38.73,6,2
2020,1,Entre Ríos,56.12,7,2
2020,1,Formosa,30.23,8,2
2020,1,Jujuy,46.67,9,2
2020,1,La Pampa,75.77,10,2
2020,1,La Rioja,46.35,11,2
2020,1,Mendoza,33.14,12,2
2020,1,Misiones,39.02,13,2
2020,1,Neuquén,61.85,14,2
2020,1,Río Negro,55.12,15,2
2020,1,Salta,49.6,16,2
2020,1,San Juan,32.39,17,2
2020,1,San Luis,76.31,18,2
2020,1,Santa Cruz,35.97,19,2
2020,1,Santa Fe,69.52,20,2
2020,1,Santiago Del Estero,42.47,21,2
2020,1,Tierra Del Fuego,76.07,22,2
2020,1,Tucumán,47.85,23,2
2019,4,Buenos Aires,64.25,0,3
2019,4,Capital Federal,106.25,1,3
2019,4,Catamarca,36.44,2,3
2019,4,Chaco,36.84,3,3
2019,4,Chubut,51.15,4,3
2019,4,Córdoba,70.48,5,3
2019,4,Corrientes,38.77,6,3
2019,4,Entre Ríos,57.99,7,3
2019,4,Formosa,30.47,8,3
2019,4,Jujuy,45.38,9,3
2019,4,La Pampa,76.92,10,3
2019,4,La Rioja,47.14,11,3
2019,4,Mendoza,33.65,12,3
2019,4,Misiones,39.79,13,3
2019,4,Neuquén,59.36,14,3
2019,4,Río Negro,55.71,15,3
2019,4,Salta,50.35,16,3
2019,4,San Juan,32.85,17,3
2019,4,San Luis,74.92,18,3
2019,4,Santa Cruz,36.71,19,3
2019,4,Santa Fe,69.48,20,3
2019,4,Santiago Del Estero,42.92,21,3
2019,4,Tierra Del Fuego,79.7,22,3
2019,4,Tucumán,47.65,23,3
2019,3,Buenos Aires,69.36,0,3
2019,3,Capital Federal,112.65,1,3
2019,3,Catamarca,30.88,2,3
