Año,Trimestre,Provincia,Accesos por cada 100 hab,provincia_id,año_id
2019,4,Mendoza,9,12,3
2019,4,Misiones,10,13,3
2019,4,Neuquén,17,14,3
2019,4,Río Negro,17,15,3
2019,4,Salta,12,16,3
2019,4,San Juan,8,17,3
2019,4,San Luis,21,18,3
2019,4,Santa Cruz,10,19,3
2019,4,Santa Fe,21,20,3
2019,4,Santiago Del Estero,10,21,3
2019,4,Tierra Del Fuego,23,22,3
2019,4,Tucumán,11,23,3
2019,3,Buenos Aires,22,0,3
2019,3,Capital Federal,46,1,3
2019,3,Catamarca,7,2,3
2019,3,Chaco,9,3,3
2019,3,Chubut,14,4,3
2019,3,Córdoba,21,5,3
2019,3,Corrientes,10,6,3
2019,3,Entre Ríos,17,7,3
2019,3,Formosa,7,8,3
2019,3,Jujuy,11,9,3
2019,3,La Pampa,25,10,3
2019,3,La Rioja,12,11,3
2019,3,Mendoza,11,12,3
2019,3,Misiones,10,13,3
2019,3,Neuquén,19,14,3
2019,3,Río Negro,19,15,3
2019,3,Salta,10,16,3
2019,3,San Juan,9,17,3
2019,3,San Luis,24,18,3
2019,3,Santa Cruz,10,19,3
2019,3,Santa Fe,21,20,3
2019,3,Santiago Del Estero,13,21,3
2019,3,Tierra Del Fuego,28,22,3
2019,3,Tucumán,9,23,3
2019,2,Buenos Aires,22,0,3
2019,2,Capital Federal,46,1,3
2019,2,Catamarca,8,2,3
2019,2,Chaco,9,3,3
2019,2,Chubut,14,4,3
2019,2,Córdoba,20,5,3
2019,2,Corrientes,10,6,3
2019,2,Entre Ríos,17,7,3
2019,2,Formosa,7,8,3
2019,2,Jujuy,11,9,3
2019,2,La Pampa,25,10,3
2019,2,La Rioja,12,11,3
2019,2,Mendoza,11,12,3
2019,2,Misiones,10,13,3
2019,2,Neuquén,18,14,3
2019,2,Río Negro,18,15,3
2019,2,Salta,10,16,3
2019,2,San Juan,9,17,3
2019,2,San Luis,23,18,3
2019,2,Santa Cruz,8,19,3
2019,2,Santa Fe,21,20,3
2019,2,Santiago Del Estero,13,21,3
2019,2,Tierra Del Fuego,28,22,3
2019,2,Tucumán,9,23,3
2019,1,Buenos Aires,21,0,3
2019,1,Capital Federal,45,1,3
2019,1,Catamarca,8,2,3
2019,1,Chaco,8,3,3
2019,1,Chubut,13,4,3
2019,1,Córdoba,20,5,3
2019,1,Corrientes,9,6,3
2019,1,Entre Ríos,16,7,3
2019,1,Formosa,7,8,3
2019,1,Jujuy,11,9,3
2019,1,La Pampa,25,10,3
2019,1,La Rioja,13,11,3
2019,1,Mendoza,10,12,3
2019,1,Misiones,9,13,3
2019,1,Neuquén,17,14,3
2019,1,Río Negro,16,15,3
2019,1,Salta,9,16,3
2019,1,San Juan,8,17,3
2019,1,San Luis,19,18,3
2019,1,Santa Cruz,7,19,3
2019,1,Santa Fe,21,20,3
2019,1,Santiago Del Estero,9,21,3
2019,1,Tierra Del Fuego,27,22,3
2019,1,Tucumán,10,23,3
2018,4,Buenos Aires,21,0,4
2018,4,Capital Federal,45,1,4
2018,4,Catamarca,8,2,4
2018,4,Chaco,8,3,4
2018,4,Chubut,13,4,4
2018,4,Córdoba,19,5,4
2018,4,Corrientes,9,6,4
2018,4,Entre Ríos,16,7,4
2018,4,Formosa,7,8,4
2018,4,Jujuy,11,9,4
2018,4,La Pampa,24,10,4
2018,4,La Rioja,13,11,4
2018,4,Mendoza,10,12,4
2018,4,Misiones,9,13,4
2018,4,Neuquén,17,14,4
2018,4,Río Negro,15,15,4
2018,4,Salta,9,16,4
2018,4,San Juan,8,17,4
2018,4,San Luis,19,18,4
2018,4,Santa Cruz,7,19,4
2018,4,Santa Fe,20,20,4
2018,4,Santiago Del Estero,9,21,4
2018,4,Tierra Del Fuego,27,22,4
2018,4,Tucumán,10,23,4
2018,3,Buenos Aires,20,0,4
2018,3,Capital Federal,45,1,4
2018,3,Catamarca,8,2,4
2018,3,Chaco,8,3,4
2018,3,Chubut,17,4,4
2018,3,Córdoba,19,5,4
2018,3,Corrientes,9,6,4
2018,3,Entre Ríos,15,7,4
2018,3,Formosa,7,8,4
2018,3,Jujuy,5,9,4
2018,3,La Pampa,23,10,4
2018,3,La Rioja,13,11,4
2018,3,Mendoza,10,12,4
2018,3,Misiones,8,13,4
2018,3,Neuquén,18,14,4
2018,3,Río Negro,15,15,4
2018,3,Salta,9,16,4
2018,3,San Juan,8,17,4
2018,3,San Luis,14,18,4
2018,3,Santa Cruz,9,19,4
2018,3,Santa Fe,19,20,4
2018,3,Santiago Del Estero,9,21,4
2018,3,Tierra Del Fuego,27,22,4
2018,3,Tucumán,10,23,4
2018,2,Buenos Aires,20,0,4
2018,2,Capital Federal,44,1,4
2018,2,Catamarca,8,2,4
2018,2,Chaco,8,3,4
2018,2,Chubut,16,4,4
2018,2,Córdoba,19,5,4
2018,2,Corrientes,8,6,4
2018,2,Entre Ríos,14,7,4
2018,2,Formosa,7,8,4
2018,2,Jujuy,5,9,4
2018,2,La Pampa,23,10,4
2018,2,La Rioja,13,11,4
2018,2,Mendoza,10,12,4
2018,2,Misiones,8,13,4
