,Año,Trimestre,Provincia,Accesos por cada 100 hab
340,2019,2,Chubut,14
341,2019,2,Córdoba,20
342,2019,2,Corrientes,10
343,2019,2,Entre Ríos,17
344,2019,2,Formosa,7
345,2019,2,Jujuy,11
346,2019,2,La Pampa,25
347,2019,2,La Rioja,12
348,2019,2,Mendoza,11
349,2019,2,Misiones,10
350,2019,2,Neuquén,18
351,2019,2,Río Negro,18
352,2019,2,Salta,10
353,2019,2,San Juan,9
354,2019,2,San Luis,23
355,2019,2,Santa Cruz,8
356,2019,2,Santa Fe,21
357,2019,2,Santiago Del Estero,13
358,2019,2,Tierra Del Fuego,28
359,2019,2,Tucumán,9
360,2019,1,Buenos Aires,21
361,2019,1,Capital Federal,45
362,2019,1,Catamarca,8
363,2019,1,Chaco,8
364,2019,1,Chubut,13
365,2019,1,Córdoba,20
366,2019,1,Corrientes,9
367,2019,1,Entre Ríos,16
368,2019,1,Formosa,7
369,2019,1,Jujuy,11
370,2019,1,La Pampa,25
371,2019,1,La Rioja,13
372,2019,1,Mendoza,10
373,2019,1,Misiones,9
374,2019,1,Neuquén,17
375,2019,1,Río Negro,16
376,2019,1,Salta,9
377,2019,1,San Juan,8
378,2019,1,San Luis,19
379,2019,1,Santa Cruz,7
380,2019,1,Santa Fe,21
381,2019,1,Santiago Del Estero,9
382,2019,1,Tierra Del Fuego,27
383,2019,1,Tucumán,10
384,2018,4,Buenos Aires,21
385,2018,4,Capital Federal,45
386,2018,4,Catamarca,8
387,2018,4,Chaco,8
388,2018,4,Chubut,13
389,2018,4,Córdoba,19
390,2018,4,Corrientes,9
391,2018,4,Entre Ríos,16
392,2018,4,Formosa,7
393,2018,4,Jujuy,11
394,2018,4,La Pampa,24
395,2018,4,La Rioja,13
396,2018,4,Mendoza,10
397,2018,4,Misiones,9
398,2018,4,Neuquén,17
399,2018,4,Río Negro,15
400,2018,4,Salta,9
401,2018,4,San Juan,8
402,2018,4,San Luis,19
403,2018,4,Santa Cruz,7
404,2018,4,Santa Fe,20
405,2018,4,Santiago Del Estero,9
406,2018,4,Tierra Del Fuego,27
407,2018,4,Tucumán,10
408,2018,3,Buenos Aires,20
409,2018,3,Capital Federal,45
410,2018,3,Catamarca,8
411,2018,3,Chaco,8
412,2018,3,Chubut,17
413,2018,3,Córdoba,19
414,2018,3,Corrientes,9
415,2018,3,Entre Ríos,15
416,2018,3,Formosa,7
417,2018,3,Jujuy,5
418,2018,3,La Pampa,23
419,2018,3,La Rioja,13
420,2018,3,Mendoza,10
421,2018,3,Misiones,8
422,2018,3,Neuquén,18
423,2018,3,Río Negro,15
424,2018,3,Salta,9
425,2018,3,San Juan,8
426,2018,3,San Luis,14
427,2018,3,Santa Cruz,9
428,2018,3,Santa Fe,19
429,2018,3,Santiago Del Estero,9
430,2018,3,Tierra Del Fuego,27
431,2018,3,Tucumán,10
432,2018,2,Buenos Aires,20
433,2018,2,Capital Federal,44
434,2018,2,Catamarca,8
435,2018,2,Chaco,8
436,2018,2,Chubut,16
437,2018,2,Córdoba,19
438,2018,2,Corrientes,8
439,2018,2,Entre Ríos,14
440,2018,2,Formosa,7
441,2018,2,Jujuy,5
442,2018,2,La Pampa,23
443,2018,2,La Rioja,13
444,2018,2,Mendoza,10
445,2018,2,Misiones,8
446,2018,2,Neuquén,17
447,2018,2,Río Negro,15
448,2018,2,Salta,9
449,2018,2,San Juan,8
450,2018,2,San Luis,4
451,2018,2,Santa Cruz,9
452,2018,2,Santa Fe,19
453,2018,2,Santiago Del Estero,8
454,2018,2,Tierra Del Fuego,27
455,2018,2,Tucumán,10
456,2018,1,Buenos Aires,20
457,2018,1,Capital Federal,44
458,2018,1,Catamarca,8
459,2018,1,Chaco,8
460,2018,1,Chubut,16
461,2018,1,Córdoba,19
462,2018,1,Corrientes,8
463,2018,1,Entre Ríos,14
464,2018,1,Formosa,5
465,2018,1,Jujuy,5
466,2018,1,La Pampa,23
467,2018,1,La Rioja,13
468,2018,1,Mendoza,10
469,2018,1,Misiones,8
470,2018,1,Neuquén,18
471,2018,1,Río Negro,15
472,2018,1,Salta,9
473,2018,1,San Juan,8
474,2018,1,San Luis,4
475,2018,1,Santa Cruz,9
476,2018,1,Santa Fe,19
477,2018,1,Santiago Del Estero,8
478,2018,1,Tierra Del Fuego,19
479,2018,1,Tucumán,10
480,2017,4,Buenos Aires,18
481,2017,4,Capital Federal,51
482,2017,4,Catamarca,7
483,2017,4,Chaco,8
484,2017,4,Chubut,15
485,2017,4,Córdoba,19
486,2017,4,Corrientes,8
487,2017,4,Entre Ríos,14
488,2017,4,Formosa,5
489,2017,4,Jujuy,5
490,2017,4,La Pampa,23
491,2017,4,La Rioja,13
492,2017,4,Mendoza,9
493,2017,4,Misiones,8
494,2017,4,Neuquén,18
495,2017,4,Río Negro,15
496,2017,4,Salta,9
497,2017,4,San Juan,7
498,2017,4,San Luis,3
499,2017,4,Santa Cruz,8
500,2017,4,Santa Fe,19
501,2017,4,Santiago Del Estero,7
502,2017,4,Tierra Del Fuego,17
503,2017,4,Tucumán,9
504,2017,3,Buenos Aires,17
505,2017,3,Capital Federal,51
506,2017,3,Catamarca,8
507,2017,3,Chaco,8
508,2017,3,Chubut,14
509,2017,3,Córdoba,19
510,2017,3,Corrientes,8
511,2017,3,Entre Ríos,13
512,2017,3,Formosa,5
513,2017,3,Jujuy,5
514,2017,3,La Pampa,22
515,2017,3,La Rioja,13
516,2017,3,Mendoza,9
517,2017,3,Misiones,8
518,2017,3,Neuquén,18
519,2017,3,Río Negro,14
520,2017,3,Salta,9
521,2017,3,San Juan,8
522,2017,3,San Luis,4
523,2017,3,Santa Cruz,9
524,2017,3,Santa Fe,19
525,2017,3,Santiago Del Estero,8
526,2017,3,Tierra Del Fuego,19
527,2017,3,Tucumán,9
528,2017,2,Buenos Aires,18
529,2017,2,Capital Federal,52
530,2017,2,Catamarca,6
531,2017,2,Chaco,7
532,2017,2,Chubut,10
533,2017,2,Córdoba,18
534,2017,2,Corrientes,8
535,2017,2,Entre Ríos,13
536,2017,2,Formosa,5
537,2017,2,Jujuy,5
538,2017,2,La Pampa,20
539,2017,2,La Rioja,4
540,2017,2,Mendoza,8
541,2017,2,Misiones,8
542,2017,2,Neuquén,18
543,2017,2,Río Negro,14
544,2017,2,Salta,7
545,2017,2,San Juan,6
546,2017,2,San Luis,2
547,2017,2,Santa Cruz,7
548,2017,2,Santa Fe,16
549,2017,2,Santiago Del Estero,3
550,2017,2,Tierra Del Fuego,20
551,2017,2,Tucumán,9
552,2017,1,Buenos Aires,18
553,2017,1,Capital Federal,45
554,2017,1,Catamarca,6
555,2017,1,Chaco,7
556,2017,1,Chubut,10
557,2017,1,Córdoba,17
558,2017,1,Corrientes,8
559,2017,1,Entre Ríos,13
560,2017,1,Formosa,5
561,2017,1,Jujuy,5
562,2017,1,La Pampa,20
563,2017,1,La Rioja,4
564,2017,1,Mendoza,8
565,2017,1,Misiones,8
566,2017,1,Neuquén,18
567,2017,1,Río Negro,14
568,2017,1,Salta,7
569,2017,1,San Juan,6
570,2017,1,San Luis,2
571,2017,1,Santa Cruz,7
572,2017,1,Santa Fe,16
573,2017,1,Santiago Del Estero,3
574,2017,1,Tierra Del Fuego,20
575,2017,1,Tucumán,9
576,2016,4,Buenos Aires,18
577,2016,4,Capital Federal,45
578,2016,4,Catamarca,6
579,2016,4,Chaco,7
580,2016,4,Chubut,10
581,2016,4,Córdoba,17
582,2016,4,Corrientes,8
583,2016,4,Entre Ríos,13
584,2016,4,Formosa,5
585,2016,4,Jujuy,5
586,2016,4,La Pampa,20
587,2016,4,La Rioja,4
588,2016,4,Mendoza,8
589,2016,4,Misiones,8
590,2016,4,Neuquén,17
591,2016,4,Río Negro,14
592,2016,4,Salta,7
593,2016,4,San Juan,6
594,2016,4,San Luis,2
595,2016,4,Santa Cruz,7
596,2016,4,Santa Fe,16
597,2016,4,Santiago Del Estero,3
598,2016,4,Tierra Del Fuego,20
599,2016,4,Tucumán,9
600,2016,3,Buenos Aires,18
601,2016,3,Capital Federal,45
602,2016,3,Catamarca,6
603,2016,3,Chaco,7
604,2016,3,Chubut,11
605,2016,3,Córdoba,17
606,2016,3,Corrientes,8
607,2016,3,Entre Ríos,13
608,2016,3,Formosa,4
609,2016,3,Jujuy,5
610,2016,3,La Pampa,20
611,2016,3,La Rioja,4
612,2016,3,Mendoza,8
613,2016,3,Misiones,8
614,2016,3,Neuquén,17
615,2016,3,Río Negro,14
616,2016,3,Salta,7
617,2016,3,San Juan,6
618,2016,3,San Luis,2
619,2016,3,Santa Cruz,7
620,2016,3,Santa Fe,16
621,2016,3,Santiago Del Estero,3
622,2016,3,Tierra Del Fuego,20
623,2016,3,Tucumán,9
624,2016,2,Buenos Aires,18
625,2016,2,Capital Federal,45
626,2016,2,Catamarca,6
627,2016,2,Chaco,7
628,2016,2,Chubut,11
629,2016,2,Córdoba,17
630,2016,2,Corrientes,8
631,2016,2,Entre Ríos,13
632,2016,2,Formosa,4
633,2016,2,Jujuy,5
634,2016,2,La Pampa,19
635,2016,2,La Rioja,4
636,2016,2,Mendoza,8
637,2016,2,Misiones,7
638,2016,2,Neuquén,17
639,2016,2,Río Negro,14
640,2016,2,Salta,7
641,2016,2,San Juan,6
642,2016,2,San Luis,2
643,2016,2,Santa Cruz,7
644,2016,2,Santa Fe,16
645,2016,2,Santiago Del Estero,3
646,2016,2,Tierra Del Fuego,20
647,2016,2,Tucumán,9
648,2016,1,Buenos Aires,17
649,2016,1,Capital Federal,43
650,2016,1,Catamarca,6
651,2016,1,Chaco,7
652,2016,1,Chubut,11
653,2016,1,Córdoba,16
654,2016,1,Corrientes,7
655,2016,1,Entre Ríos,13
656,2016,1,Formosa,4
657,2016,1,Jujuy,5
658,2016,1,La Pampa,19
659,2016,1,La Rioja,4
660,2016,1,Mendoza,8
661,2016,1,Misiones,7
662,2016,1,Neuquén,16
663,2016,1,Río Negro,14
664,2016,1,Salta,7
665,2016,1,San Juan,6
666,2016,1,San Luis,2
667,2016,1,Santa Cruz,8
668,2016,1,Santa Fe,16
669,2016,1,Santiago Del Estero,4
670,2016,1,Tierra Del Fuego,19
671,2016,1,Tucumán,9
672,2015,4,Buenos Aires,17
673,2015,4,Capital Federal,44
674,2015,4,Catamarca,6
675,2015,4,Chaco,7
