Año,Trimestre,Provincia,Banda ancha fija,Dial up,Total,provincia_id,año_id
2020,3,Jujuy,106728,0.0,106728,9,2
2020,3,La Pampa,93619,1160.0,93735,10,2
2020,3,La Rioja,52613,30.0,52616,11,2
2020,3,Mendoza,207173,6150.0,207788,12,2
2020,3,Misiones,143186,0.0,143186,13,2
2020,3,Neuquén,128862,3730.0,129235,14,2
2020,3,Río Negro,130966,5010.0,131467,15,2
2020,3,Salta,180844,20.0,180846,16,2
2020,3,San Juan,77071,2560.0,77327,17,2
2020,3,San Luis,116417,1480.0,116565,18,2
2020,3,Santa Cruz,39084,1970.0,39281,19,2
2020,3,Santa Fe,802861,1370.0,802998,20,2
2020,3,Santiago Del Estero,105491,10.0,105492,21,2
2020,3,Tierra Del Fuego,39366,2890.0,39655,22,2
2020,3,Tucumán,223854,220.0,223876,23,2
2020,2,Buenos Aires,3772480,50660.0,3777546,0,2
2020,2,Capital Federal,1356431,13900.0,1357821,1,2
2020,2,Catamarca,47975,10.0,47976,2,2
2020,2,Chaco,128129,30.0,128132,3,2
2020,2,Chubut,107831,8250.0,108656,4,2
2020,2,Córdoba,836413,550.0,836468,5,2
2020,2,Corrientes,118863,30.0,118866,6,2
2020,2,Entre Ríos,234100,130.0,234113,7,2
2020,2,Formosa,47932,0.0,47932,8,2
2020,2,Jujuy,94316,0.0,94316,9,2
2020,2,La Pampa,89693,1160.0,89809,10,2
2020,2,La Rioja,52152,30.0,52155,11,2
2020,2,Mendoza,200569,6150.0,201184,12,2
2020,2,Misiones,140340,0.0,140340,13,2
2020,2,Neuquén,125799,3730.0,126172,14,2
2020,2,Río Negro,128985,5010.0,129486,15,2
2020,2,Salta,177760,20.0,177762,16,2
2020,2,San Juan,69521,2560.0,69777,17,2
2020,2,San Luis,113804,1480.0,113952,18,2
2020,2,Santa Cruz,38672,1970.0,38869,19,2
2020,2,Santa Fe,777795,1370.0,777932,20,2
2020,2,Santiago Del Estero,105446,10.0,105447,21,2
2020,2,Tierra Del Fuego,38900,2890.0,39189,22,2
2020,2,Tucumán,217134,220.0,217156,23,2
2020,1,Buenos Aires,3702985,50660.0,3708051,0,2
2020,1,Capital Federal,1352104,13900.0,1353494,1,2
2020,1,Catamarca,39634,10.0,39635,2,2
2020,1,Chaco,120274,30.0,120277,3,2
2020,1,Chubut,95938,8000.0,96738,4,2
2020,1,Córdoba,811044,550.0,811099,5,2
2020,1,Corrientes,113967,30.0,113970,6,2
2020,1,Entre Ríos,231833,130.0,231846,7,2
2020,1,Formosa,46434,0.0,46434,8,2
2020,1,Jujuy,91665,0.0,91665,9,2
2020,1,La Pampa,89110,1160.0,89226,10,2
2020,1,La Rioja,48337,30.0,48340,11,2
2020,1,Mendoza,182837,6150.0,183452,12,2
2020,1,Misiones,133552,0.0,133552,13,2
2020,1,Neuquén,121354,3730.0,121727,14,2
2020,1,Río Negro,125699,5010.0,126200,15,2
2020,1,Salta,170379,20.0,170381,16,2
2020,1,San Juan,63975,2560.0,64231,17,2
2020,1,San Luis,110404,1480.0,110552,18,2
2020,1,Santa Cruz,38625,1970.0,38822,19,2
2020,1,Santa Fe,770981,1370.0,771118,20,2
2020,1,Santiago Del Estero,102754,10.0,102755,21,2
2020,1,Tierra Del Fuego,38505,2890.0,38794,22,2
2020,1,Tucumán,200045,220.0,200067,23,2
2019,4,Buenos Aires,3681120,51340.0,3686254,0,3
2019,4,Capital Federal,1356695,14100.0,1358105,1,3
2019,4,Catamarca,38310,10.0,38311,2,3
2019,4,Chaco,117900,30.0,117903,3,3
2019,4,Chubut,95292,8100.0,96102,4,3
2019,4,Córdoba,806633,550.0,806688,5,3
2019,4,Corrientes,113831,30.0,113834,6,3
2019,4,Entre Ríos,239017,130.0,239030,7,3
2019,4,Formosa,46711,0.0,46711,8,3
2019,4,Jujuy,88881,0.0,88881,9,3
2019,4,La Pampa,90280,1190.0,90399,10,3
2019,4,La Rioja,48999,30.0,49002,11,3
2019,4,Mendoza,185157,6230.0,185780,12,3
2019,4,Misiones,135813,0.0,135813,13,3
2019,4,Neuquén,116069,3760.0,116445,14,3
2019,4,Río Negro,126636,5040.0,127140,15,3
2019,4,Salta,172443,20.0,172445,16,3
2019,4,San Juan,64715,2590.0,64974,17,3
2019,4,San Luis,108053,1480.0,108201,18,3
2019,4,Santa Cruz,39170,2000.0,39370,19,3
2019,4,Santa Fe,769019,1500.0,769169,20,3
2019,4,Santiago Del Estero,103587,10.0,103588,21,3
2019,4,Tierra Del Fuego,40101,2910.0,40392,22,3
2019,4,Tucumán,198621,230.0,198644,23,3
2019,3,Buenos Aires,3950114,101190.0,3960233,0,3
2019,3,Capital Federal,1437734,34770.0,1441211,1,3
2019,3,Catamarca,32391,90.0,32400,2,3
2019,3,Chaco,114438,130.0,114451,3,3
2019,3,Chubut,87481,15240.0,89005,4,3
2019,3,Córdoba,782946,1070.0,783053,5,3
2019,3,Corrientes,112749,100.0,112759,6,3
2019,3,Entre Ríos,238057,450.0,238102,7,3
