,Año,Trimestre,Provincia,ADSL,Cablemodem,Fibra óptica,Wireless,Otros,Total,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17
105,2021,4,Jujuy,22330,60511,24156,2927,3991,113915,,,,,,,,,
106,2021,4,La Pampa,8175,58000,20192,19286,1354,107007,,,,,,,,,
107,2021,4,La Rioja,10387,56651,9446,6613,31,83128,,,,,,,,,
108,2021,4,Mendoza,59842,71553,109667,24666,1859,267587,,,,,,,,,
109,2021,4,Misiones,41778,92068,22035,7649,7602,171132,,,,,,,,,
110,2021,4,Neuquén,29175,72761,23253,21531,746,147466,,,,,,,,,
111,2021,4,Río Negro,42037,44495,32212,16558,18451,153753,,,,,,,,,
112,2021,4,Salta,46972,99808,39555,5882,7188,199405,,,,,,,,,
113,2021,4,San Juan,35868,13102,11072,11423,8493,79958,,,,,,,,,
114,2021,4,San Luis,8472,11064,30,70560,28723,118849,,,,,,,,,
115,2021,4,Santa Cruz,10790,22902,10031,4346,417,48486,,,,,,,,,
116,2021,4,Santa Fe,233427,444373,128856,43556,16229,866441,,,,,,,,,
117,2021,4,Santiago Del Estero,19032,86563,1088,6256,2922,115861,,,,,,,,,
118,2021,4,Tierra Del Fuego,13317,38148,426,124,342,52357,,,,,,,,,
119,2021,4,Tucumán,97830,59022,78790,2511,486,238639,,,,,,,,,
120,2021,3,Buenos Aires,585729,2595485,885613,120228,64554,4251609,,,,,,,,,
121,2021,3,Capital Federal,142902,1192107,42966,6059,29371,1413405,,,,,,,,,
122,2021,3,Catamarca,18413,11709,22331,1568,2233,56254,,,,,,,,,
123,2021,3,Chaco,38258,63659,27583,8018,2353,139871,,,,,,,,,
124,2021,3,Chubut,49269,55794,8946,23376,18681,156066,,,,,,,,,
125,2021,3,Córdoba,229275,477223,167495,57617,15178,946788,,,,,,,,,
126,2021,3,Corrientes,44805,69403,7542,6766,5303,133819,,,,,,,,,
127,2021,3,Entre Ríos,74443,128752,20485,23500,13195,260375,,,,,,,,,
128,2021,3,Formosa,18093,14111,4730,15690,171,52795,,,,,,,,,
129,2021,3,Jujuy,23554,60758,19926,2952,3968,111158,,,,,,,,,
130,2021,3,La Pampa,9015,57881,17817,14479,1295,100487,,,,,,,,,
131,2021,3,La Rioja,11329,54744,9444,6613,30,82160,,,,,,,,,
132,2021,3,Mendoza,91474,71247,70579,21811,828,255939,,,,,,,,,
133,2021,3,Misiones,43230,89469,10969,7198,7662,158528,,,,,,,,,
134,2021,3,Neuquén,29650,73794,16455,19270,640,139809,,,,,,,,,
